Source;Target;Label;Weight
86;130;"Edge from 86 to 130";0.025954
98;130;"Edge from 98 to 130";0.13903
100;130;"Edge from 100 to 130";0.035809
101;130;"Edge from 101 to 130";0.0031328
106;130;"Edge from 106 to 130";0.013658
120;130;"Edge from 120 to 130";0.053982
146;130;"Edge from 146 to 130";0.012278
151;130;"Edge from 151 to 130";0.19483
154;130;"Edge from 154 to 130";0.048923
156;130;"Edge from 156 to 130";0.028432
159;130;"Edge from 159 to 130";0.012935
75;131;"Edge from 75 to 131";0.028582
78;131;"Edge from 78 to 131";0.026748
89;131;"Edge from 89 to 131";0.10928
105;131;"Edge from 105 to 131";0.012577
111;131;"Edge from 111 to 131";0.0025025
119;131;"Edge from 119 to 131";0.013062
126;131;"Edge from 126 to 131";0.010324
128;131;"Edge from 128 to 131";0.011934
146;131;"Edge from 146 to 131";0.026387
148;131;"Edge from 148 to 131";0.054616
155;131;"Edge from 155 to 131";0.010717
159;131;"Edge from 159 to 131";0.07463
80;132;"Edge from 80 to 132";0.19773
107;132;"Edge from 107 to 132";0.05736
124;132;"Edge from 124 to 132";0.012943
158;132;"Edge from 158 to 132";0.14292
73;133;"Edge from 73 to 133";0.17834
161;133;"Edge from 161 to 133";0.1895
109;134;"Edge from 109 to 134";0.12273
146;134;"Edge from 146 to 134";0.052583
106;135;"Edge from 106 to 135";0.1366
151;135;"Edge from 151 to 135";0.010607
156;135;"Edge from 156 to 135";0.19263
90;136;"Edge from 90 to 136";0.19048
99;136;"Edge from 99 to 136";0.031496
124;136;"Edge from 124 to 136";0.039024
144;136;"Edge from 144 to 136";0.020311
165;136;"Edge from 165 to 136";0.063344
93;137;"Edge from 93 to 137";0.16161
156;137;"Edge from 156 to 137";0.038885
96;138;"Edge from 96 to 138";0.15343
129;138;"Edge from 129 to 138";0.042705
155;138;"Edge from 155 to 138";0.010587
77;139;"Edge from 77 to 139";0.141
113;139;"Edge from 113 to 139";0.0016639
147;139;"Edge from 147 to 139";0.22776
75;140;"Edge from 75 to 140";0.051436
115;140;"Edge from 115 to 140";0.014953
146;140;"Edge from 146 to 140";0.036569
88;141;"Edge from 88 to 141";0.20894
103;141;"Edge from 103 to 141";0.088046
162;141;"Edge from 162 to 141";0.06302
84;142;"Edge from 84 to 142";0.18679
160;142;"Edge from 160 to 142";0.2766
114;143;"Edge from 114 to 143";0.23469
167;143;"Edge from 167 to 143";0.21569
94;144;"Edge from 94 to 144";0.0035503
99;144;"Edge from 99 to 144";0.16468
124;144;"Edge from 124 to 144";0.018993
136;144;"Edge from 136 to 144";0.020311
158;144;"Edge from 158 to 144";0.01517
165;144;"Edge from 165 to 144";0.047659
82;145;"Edge from 82 to 145";0.011351
116;145;"Edge from 116 to 145";0.10526
157;145;"Edge from 157 to 145";0.09436
118;146;"Edge from 118 to 146";0.014443
130;146;"Edge from 130 to 146";0.012278
131;146;"Edge from 131 to 146";0.026387
134;146;"Edge from 134 to 146";0.052583
140;146;"Edge from 140 to 146";0.036569
149;146;"Edge from 149 to 146";0.017038
150;146;"Edge from 150 to 146";0.028456
139;147;"Edge from 139 to 147";0.22776
176;147;"Edge from 176 to 147";0.25134
119;148;"Edge from 119 to 148";0.11524
128;148;"Edge from 128 to 148";0.026406
